Task,Found_in_Logs,AI_Coder,Found_in_Log1,Found_in_Log2,Evidence
TICKET-023_fertilizer-application-method-1.1,NO,NONE,NO,NO,
TICKET-023_fertilizer-application-method-1.2,NO,NONE,NO,NO,
TICKET-023_fertilizer-application-method-1.3,NO,NONE,NO,NO,
TICKET-023_fertilizer-application-method-2.1,NO,NONE,NO,NO,
TICKET-023_fertilizer-application-method-2.2,NO,NONE,NO,NO,
TICKET-023_fertilizer-application-method-2.3,NO,NONE,NO,NO,
TICKET-023_fertilizer-application-method-3.1,NO,NONE,NO,NO,
TICKET-023_fertilizer-application-method-3.2,NO,NONE,NO,NO,
TICKET-023_fertilizer-application-method-3.3,NO,NONE,NO,NO,
TICKET-023_fertilizer-application-method-10.1,NO,NONE,NO,NO,
TICKET-023_fertilizer-application-method-10.2,NO,NONE,NO,NO,
TICKET-023_fertilizer-application-method-11.1,NO,NONE,NO,NO,
TICKET-023_fertilizer-application-method-11.2,NO,NONE,NO,NO,
TICKET-023_fertilizer-application-method-12.1,NO,NONE,NO,NO,
TICKET-023_fertilizer-application-method-12.2,NO,NONE,NO,NO,
TICKET-006_fertilizer-strategy-optimization-1.1,NO,NONE,NO,NO,
TICKET-006_fertilizer-strategy-optimization-1.2,NO,NONE,NO,NO,
TICKET-006_fertilizer-strategy-optimization-1.3,NO,NONE,NO,NO,
TICKET-006_fertilizer-strategy-optimization-2.1,NO,NONE,NO,NO,
TICKET-006_fertilizer-strategy-optimization-2.2,NO,NONE,NO,NO,
TICKET-006_fertilizer-strategy-optimization-2.3,NO,NONE,NO,NO,
TICKET-006_fertilizer-strategy-optimization-3.1,NO,NONE,NO,NO,
TICKET-006_fertilizer-strategy-optimization-3.2,NO,NONE,NO,NO,
TICKET-006_fertilizer-strategy-optimization-3.3,NO,NONE,NO,NO,
TICKET-006_fertilizer-strategy-optimization-10.1,NO,NONE,NO,NO,
TICKET-006_fertilizer-strategy-optimization-10.2,NO,NONE,NO,NO,
TICKET-006_fertilizer-strategy-optimization-11.1,NO,NONE,NO,NO,
TICKET-010_fertilizer-timing-optimization-1.1,NO,NONE,NO,NO,
TICKET-010_fertilizer-timing-optimization-1.2,NO,NONE,NO,NO,
TICKET-010_fertilizer-timing-optimization-1.3,NO,NONE,NO,NO,
TICKET-010_fertilizer-timing-optimization-2.1,NO,NONE,NO,NO,
TICKET-010_fertilizer-timing-optimization-2.2,NO,NONE,NO,NO,
TICKET-010_fertilizer-timing-optimization-2.3,NO,NONE,NO,NO,
TICKET-010_fertilizer-timing-optimization-3.1,NO,NONE,NO,NO,
TICKET-010_fertilizer-timing-optimization-3.2,NO,NONE,NO,NO,
TICKET-010_fertilizer-timing-optimization-3.3,NO,NONE,NO,NO,
TICKET-010_fertilizer-timing-optimization-10.1,NO,NONE,NO,NO,
TICKET-010_fertilizer-timing-optimization-10.2,NO,NONE,NO,NO,
TICKET-010_fertilizer-timing-optimization-11.1,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-1.1,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-1.2,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-1.3,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-2.1,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-2.2,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-2.3,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-3.1,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-3.2,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-3.3,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-4.1,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-4.2,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-4.3,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-10.1,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-10.2,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-11.1,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-11.2,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-12.1,NO,NONE,NO,NO,
TICKET-011_fertilizer-type-selection-12.2,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-1.1,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-1.2,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-1.3,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-2.1,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-2.2,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-2.3,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-3.1,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-3.2,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-3.3,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-4.1,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-4.2,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-4.3,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-10.1,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-10.2,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-11.1,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-11.2,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-12.1,NO,NONE,NO,NO,
TICKET-016_micronutrient-management-12.2,NO,NONE,NO,NO,
TICKET-024_runoff-prevention-1.1,NO,NONE,NO,NO,
TICKET-024_runoff-prevention-1.2,NO,NONE,NO,NO,
TICKET-024_runoff-prevention-1.3,NO,NONE,NO,NO,
TICKET-024_runoff-prevention-2.1,NO,NONE,NO,NO,
TICKET-024_runoff-prevention-2.2,NO,NONE,NO,NO,
TICKET-024_runoff-prevention-2.3,NO,NONE,NO,NO,
TICKET-024_runoff-prevention-3.1,NO,NONE,NO,NO,
TICKET-024_runoff-prevention-3.2,NO,NONE,NO,NO,
TICKET-024_runoff-prevention-3.3,NO,NONE,NO,NO,
TICKET-024_runoff-prevention-10.1,NO,NONE,NO,NO,
TICKET-024_runoff-prevention-10.2,NO,NONE,NO,NO,
TICKET-024_runoff-prevention-11.1,NO,NONE,NO,NO,
TICKET-024_runoff-prevention-11.2,NO,NONE,NO,NO,
TICKET-024_runoff-prevention-12.1,NO,NONE,NO,NO,
TICKET-024_runoff-prevention-12.2,NO,NONE,NO,NO,
TICKET-017_soil-tissue-test-integration-1.1,NO,NONE,NO,NO,
TICKET-017_soil-tissue-test-integration-1.2,NO,NONE,NO,NO,
TICKET-017_soil-tissue-test-integration-1.3,NO,NONE,NO,NO,
TICKET-017_soil-tissue-test-integration-2.1,NO,NONE,NO,NO,
TICKET-017_soil-tissue-test-integration-2.2,NO,NONE,NO,NO,
TICKET-017_soil-tissue-test-integration-2.3,NO,NONE,NO,NO,
